Ticker,Date,GSA_polarity,Diff_Close,Pred_Label
TEL,11/09/2017,neutral,-9,Bearish
TEL,08/09/2017,positive,-55,Bearish
TEL,04/09/2017,neutral,20,Bullish
TEL,02/09/2017,positive,0,Bullish
TEL,31/08/2017,neutral,-13,Bullish
TEL,25/08/2017,positive,11,Bullish
TEL,24/08/2017,neutral,0,Bullish
TEL,24/08/2017,neutral,0,Bullish
TEL,19/08/2017,neutral,2,Bearish
TEL,14/08/2017,negative,-10,Bearish
TEL,11/08/2017,neutral,0,Bullish
TEL,11/08/2017,neutral,28,Bullish
TEL,10/08/2017,neutral,0,Bullish
TEL,10/08/2017,neutral,109,Bullish
TEL,02/08/2017,neutral,-95,Bearish
TEL,25/07/2017,negative,8,Bearish
TEL,24/07/2017,negative,25,Bearish
TEL,20/07/2017,negative,-105,Bearish
TEL,02/07/2017,positive,-130,Bearish
TEL,16/06/2017,neutral,-5,Bearish
TEL,14/06/2017,neutral,0,Bullish
TEL,14/06/2017,negative,0,Bullish
TEL,14/06/2017,neutral,0,Bullish
TEL,14/06/2017,neutral,55,Bullish
TEL,13/06/2017,neutral,0,Bearish
TEL,13/06/2017,neutral,0,Bearish
TEL,13/06/2017,neutral,-31,Bearish
TEL,10/06/2017,neutral,13,Bullish
TEL,04/06/2017,neutral,124,Bullish
TEL,27/05/2017,neutral,114,Bullish
TEL,23/05/2017,neutral,3,Bearish
TEL,22/05/2017,neutral,0,Bearish
TEL,22/05/2017,neutral,17,Bearish
TEL,18/05/2017,neutral,-107,Bearish
TEL,13/05/2017,negative,-38,Bearish
TEL,12/05/2017,negative,0,Bullish
TEL,12/05/2017,neutral,-13,Bullish
TEL,05/05/2017,positive,13,Bullish
TEL,01/05/2017,negative,-15,Bearish
TEL,27/04/2017,neutral,0,Bearish
TEL,27/04/2017,neutral,90,Bearish
TEL,20/04/2017,negative,-20,Bullish
TEL,19/04/2017,neutral,-55,Bearish
TEL,10/04/2017,neutral,0,Bullish
TEL,10/04/2017,neutral,12,Bullish
TEL,09/04/2017,positive,0,Bullish
TEL,09/04/2017,neutral,91,Bullish
TEL,02/04/2017,positive,6,Bullish
TEL,31/03/2017,positive,0,Bullish
TEL,31/03/2017,positive,0,Bullish
